70 94 1
6 19 0
62 79 0
62 86 1
83 26 0
71 54 0
98 65 0
64 92 1
25 5 0
66 95 1
66 53 0
94 27 0
45 96 1
79 11 0
98 92 1
41 67 0
85 48 0
52 13 0
93 80 0
65 41 0
6 1 0
95 70 0
66 24 0
61 92 1
29 94 1
52 61 0
12 11 0
89 57 0
6 33 0
34 3 0
24 75 1
36 76 1
89 88 0
89 81 0
67 19 0
21 39 0
21 82 1
76 53 0
5 2 0
10 34 0
62 62 0
62 74 0
73 50 0
97 45 0
49 30 0
48 39 0
5 84 1
81 94 1
37 69 0
41 71 0
55 62 0
9 76 1
44 51 0
28 49 0
54 39 0
50 15 0
67 78 0
56 6 0
94 52 0
51 42 0
83 66 0
47 54 0
15 28 0
13 53 1
63 54 0
23 17 0
83 99 1
93 93 1
50 88 1
7 70 1
26 23 0
51 59 0
0 6 1
65 94 1
25 83 1
1 7 1
48 49 0
27 29 0
77 6 0
82 5 0
27 71 1
23 9 0
36 15 0
68 52 0
2 75 1
21 95 1
65 72 0
20 31 0
45 85 1
25 70 1
33 26 0
43 47 0
41 70 0
77 84 0
42 24 0
90 69 0
96 12 0
44 31 0
94 11 0
49 63 0
53 70 0
57 17 0
7 77 1
48 18 0
28 39 0
88 27 0
32 30 0
75 39 0
66 51 0
23 8 0
75 79 0
77 36 0
91 88 0
33 84 1
99 82 0
46 17 0
17 70 1
0 92 1
12 15 0
9 40 0
54 98 1
34 52 0
94 8 0
92 60 0
25 81 1
34 66 0
59 77 0
2 49 1


1 28
2 30
3 31
4 33
5 34
6 36
7 37
8 39
9 41
10 42
11 44
12 45
13 47
14 48
15 50
16 52
17 53
18 55
19 56
20 58
21 59
22 61
23 63
24 64
25 66
26 67
27 69
28 70
29 71
30 72
31 73
32 74
33 74
34 75
35 75
36 75
37 76
38 76
39 76
40 77
41 77
42 77
43 77
44 78
45 78
46 78
47 78
48 78
49 78
50 79
51 79
52 79
53 79
54 79
55 79
56 79
57 79
58 79
59 79
60 79
61 79
62 79
63 79
64 79
65 79
66 78
67 78
68 78
69 78
70 78
71 78
72 78
73 78
74 79
75 81
76 83
77 84
78 85
79 85
80 85
81 85
82 85
83 85
84 85
85 85
86 85
87 85
88 85
89 85
90 85
91 85
92 85
93 85
94 85
95 85
96 86
97 86
98 86
99 86
100 86


1 0
2 13
3 21
4 27
5 32
6 35
7 38
8 41
9 43
10 46
11 47
12 49
13 51
14 52
15 54
16 55
17 56
18 57
19 58
20 59
21 60
22 61
23 62
24 63
25 64
26 65
27 65
28 66
29 67
30 68
31 68
32 69
33 69
34 70
35 71
36 71
37 72
38 72
39 73
40 73
41 74
42 74
43 75
44 75
45 76
46 76
47 77
48 77
49 77
50 78
51 78
52 79
53 79
54 79
55 80
56 80
57 80
58 81
59 81
60 81
61 82
62 82
63 82
64 83
65 83
66 83
67 84
68 84
69 84
70 84
71 85
72 85
73 85
74 86
75 86
76 86
77 86
78 87
79 87
80 87
81 87
82 88
83 88
84 88
85 88
86 89
87 89
88 89
89 89
90 89
91 90
92 90
93 90
94 90
95 91
96 91
97 91
98 91
99 91
100 92
