86 2 0
55 50 0
73 37 0
58 26 0
87 38 0
98 86 0
28 10 0
96 87 0
63 21 0
86 98 0
15 10 0
31 33 0


1 1048575
2 1048575
3 1048575
4 1048575
5 1048575
6 1048575
7 1048575
8 1048575
9 1048575
10 1048575
11 1048575
12 1048575
13 1048575
14 1048575
15 1048575
16 1048575
17 1048575
18 1048575
19 1048575
20 1048575
21 1048575
22 1048575
23 1048575
24 1048575
25 1048575
26 1048575
27 1048575
28 1048575
29 1048575
30 1048575
31 1048575
32 1048575
33 1048575
34 1048575
35 1048575
36 1048575
37 1048575
38 1048575
39 1048575
40 1048575
41 1048575
42 1048575
43 1048575
44 1048575
45 1048575
46 1048575
47 1048575
48 1048575
49 1048575
50 1048575
51 1048575
52 1048575
53 1048575
54 1048575
55 1048575
56 1048575
57 1048575
58 1048575
59 1048575
60 1048575
61 1048575
62 1048575
63 1048575
64 1048575
65 1048575
66 1048575
67 1048575
68 1048575
69 1048575
70 1048575
71 1048575
72 1048575
73 1048575
74 1048575
75 1048575
76 1048575
77 1048575
78 1048575
79 1048575
80 1048575
81 1048575
82 1048575
83 1048575
84 1048575
85 1048575
86 1048575
87 1048575
88 1048575
89 1048575
90 1048575
91 1048575
92 1048575
93 1048575
94 1048575
95 1048575
96 1048575
97 1048575
98 1048575
99 1048575
100 1048575
